# http://localhost:3838/ --workers 50 --loaded-duration-minutes 2 --output-dir run1
# {"appUrl":"http://localhost:3838/","debugLog":false,"loadedDurationMinutes":2.0,"logLevel":"WARN","outputDir":"run1","overwriteOutput":false,"recordingPath":"recording.log","workers":50}
session_id,worker_id,iteration,event,timestamp,input_line_number,comment
22,22,0,PLAYER_SESSION_CREATE,1697758022602,0,
22,22,0,REQ_HOME_START,1697758022604,4,
22,22,0,REQ_HOME_END,1697758022701,4,
22,22,0,REQ_GET_START,1697758022702,5,
22,22,0,REQ_GET_END,1697758022707,5,
22,22,0,REQ_GET_START,1697758022708,6,
22,22,0,REQ_GET_END,1697758022711,6,
22,22,0,REQ_GET_START,1697758022712,7,
22,22,0,REQ_GET_END,1697758022724,7,
22,22,0,REQ_GET_START,1697758022725,8,
22,22,0,REQ_GET_END,1697758022736,8,
22,22,0,WS_OPEN_START,1697758022737,9,
22,22,0,WS_OPEN_END,1697758022741,9,
22,22,0,PLAYBACK_SLEEPBEFORE_START,1697758022741,10,
22,22,0,PLAYBACK_SLEEPBEFORE_END,1697758022749,10,
22,22,0,REQ_GET_START,1697758022749,10,
22,22,0,REQ_GET_END,1697758022752,10,
22,22,0,WS_RECV_INIT_START,1697758022753,11,
22,22,0,WS_RECV_INIT_END,1697758022753,11,
22,22,0,PLAYBACK_SLEEPBEFORE_START,1697758022754,12,
22,22,0,PLAYBACK_SLEEPBEFORE_END,1697758022756,12,
22,22,0,WS_SEND_START,1697758022757,12,
22,22,0,WS_SEND_END,1697758022757,12,
22,22,0,PLAYBACK_SLEEPBEFORE_START,1697758022758,13,
22,22,0,PLAYBACK_SLEEPBEFORE_END,1697758022760,13,
22,22,0,WS_SEND_START,1697758022761,13,
22,22,0,WS_SEND_END,1697758022762,13,
22,22,0,PLAYBACK_SLEEPBEFORE_START,1697758022762,14,
22,22,0,PLAYBACK_SLEEPBEFORE_END,1697758022764,14,
22,22,0,WS_SEND_START,1697758022765,14,
22,22,0,WS_SEND_END,1697758022766,14,
22,22,0,PLAYBACK_SLEEPBEFORE_START,1697758022766,15,
22,22,0,PLAYBACK_SLEEPBEFORE_END,1697758022768,15,
22,22,0,WS_SEND_START,1697758022769,15,
22,22,0,WS_SEND_END,1697758022770,15,
22,22,0,WS_SEND_START,1697758022770,16,
22,22,0,WS_SEND_END,1697758022771,16,
22,22,0,PLAYBACK_SLEEPBEFORE_START,1697758022772,17,
